"Player","Team","REC","YDS","TDS","ATT","YDS","TDS","FL","FPTS"
"Justin Watson","HOU","0.4","5.4","0.0","0.0","0.0","0.0","0.0","0.8"
"Jalin Hyatt","NYG","0.4","5.5","0.0","0.0","0.0","0.0","0.0","0.8"
"Javon Baker","NE","0.4","4.8","0.0","0.0","0.0","0.0","0.0","0.7"
"Bub Means","NO","0.4","4.3","0.0","0.0","0.1","0.0","0.0","0.7"
"Devontez Walker","BAL","0.3","4.2","0.0","0.0","0.2","0.0","0.0","0.6"
"Dante Pettis","NO","0.3","4.0","0.0","0.1","0.8","0.0","0.0","0.6"
"Johnny Wilson","PHI","0.3","3.7","0.0","0.0","0.0","0.0","0.0","0.6"
"John Metchie III","HOU","0.3","3.6","0.0","0.0","0.1","0.0","0.0","0.6"
"Sterling Shepard","TB","0.4","3.4","0.0","0.0","0.2","0.0","0.0","0.6"
"Xavier Restrepo","TEN","0.3","3.6","0.0","0.0","0.1","0.0","0.0","0.6"
"Tylan Wallace","BAL","0.2","3.0","0.0","0.0","0.1","0.0","0.0","0.5"
"Tommy Mellott","LV","0.2","2.5","0.0","0.2","1.4","0.0","0.0","0.5"
"Lil'Jordan Humphrey","NYG","0.3","3.4","0.0","0.0","0.0","0.0","0.0","0.5"
"David Moore","CAR","0.4","4.6","0.0","0.0","0.0","0.0","0.0","0.5"
"Jonathan Mingo","DAL","0.3","3.9","0.0","0.0","0.0","0.0","0.0","0.5"
"Nikko Remigio","KC","0.2","2.7","0.0","0.0","0.0","0.0","0.0","0.4"
"Hunter Renfrow","CAR","0.3","2.6","0.0","0.0","0.0","0.0","0.0","0.4"
"Jordan Watkins","SF","0.2","2.4","0.0","0.3","0.7","0.0","0.0","0.4"
"Mecole Hardman Jr.","GB","0.2","2.2","0.0","0.0","0.3","0.0","0.0","0.4"
"Treylon Burks","TEN","0.2","2.4","0.0","0.1","0.7","0.0","0.0","0.4"
"Jamal Agnew","ATL","0.2","2.2","0.0","0.0","0.0","0.0","0.0","0.3"
"Michael Gallup","WAS","0.2","2.1","0.0","0.0","0.0","0.0","0.0","0.3"
"Jacob Cowing","SF","0.2","2.7","0.0","0.0","0.0","0.0","0.0","0.3"
"Britain Covey","LAR","0.1","1.2","0.0","0.1","0.8","0.0","0.0","0.3"
"Jalen Reagor","LAC","0.2","2.5","0.0","0.0","0.0","0.0","0.0","0.3"
"Austin Trammell","JAC","0.2","2.4","0.0","0.0","0.0","0.0","0.0","0.3"
"Nick Nash","ATL","0.2","2.3","0.0","0.0","0.0","0.0","0.0","0.3"
"Bryce Oliver","TEN","0.2","2.2","0.0","0.0","0.0","0.0","0.0","0.3"
"Scotty Miller","PIT","0.2","2.2","0.0","0.0","0.0","0.0","0.0","0.3"
"Ben Skowronek","PIT","0.2","2.0","0.0","0.0","0.0","0.0","0.0","0.3"
"Trent Sherfield Sr.","DEN","0.2","2.2","0.0","0.0","0.0","0.0","0.0","0.3"
"Ashton Dulin","IND","0.2","1.7","0.0","0.0","0.3","0.0","0.0","0.2"
