"Rank","Player","Team","Bye","POS","ESPN","Sleeper","NFL","RTSports","FFC","AVG"
"594","Gus Edwards","","","RB144","484","","","","","484.0"
"595","Khalil Herbert","IND","11","RB145","","","484","","","484.0"
"596","Danny Gray","","","WR197","485","","","","","485.0"
"597","Brevin Jordan","HOU","6","TE80","","","486","","","486.0"
"598","Jamaal Williams","","","RB146","486","","540","","","513.0"
"599","Braxton Berrios","HOU","6","WR198","487","","739","","","613.0"
"600","Zach Davidson","BUF","7","TE81","","","488","","","488.0"
"601","Trey Sermon","PIT","5","RB147","","","489","","","489.0"
"602","Riley Leonard","IND","11","QB90","489","","524","","","506.5"
"603","Riley Patterson","","","K54","","","490","","","490.0"
"604","Tanner Brown","","","K55","490","","","","","490.0"
"605","Jaret Patterson","LAC","12","RB148","","","491","","","491.0"
"606","Carson Strong","","","QB91","491","","","","","491.0"
"607","Desmond Ridder","CIN","10","QB92","","","492","","","492.0"
"608","Tyreik McAllister","","","RB149","492","","","","","492.0"
"609","Tyler Badie","DEN","12","RB150","","","493","","","493.0"
"610","Michael Gallup","WAS","12","WR199","493","","543","","","518.0"
"611","Sam Ehlinger","DEN","12","QB93","494","","763","","","628.5"
"612","Nathan Peterman","","","QB94","495","","","","","495.0"
"613","Tyler Goodson","IND","11","RB151","","","495","","","495.0"
"614","Jamal Agnew","ATL","5","WR200","496","","541","","","518.5"
"615","Skylar Thompson","PIT","5","QB95","","","497","","","497.0"
"616","Zay Jones","ARI","8","WR201","497","","731","","","614.0"
"617","Kenny Pickett","CLE","9","QB96","","","498","","","498.0"
"618","Kylen Granson","PHI","9","TE82","498","","764","","","631.0"
"619","Ryan Tannehill","","","QB97","499","","","","","499.0"
"620","Bo Melton","GB","5","WR202","","","499","","","499.0"
"621","Justin Shorter","LV","8","WR203","","","503","","","503.0"
"622","Jalen Brooks","DAL","10","WR204","","","504","","","504.0"
"623","Josh Whyle","TEN","10","TE83","","","506","","","506.0"
"624","Xavier Hutchinson","HOU","6","WR205","","","507","","","507.0"
"625","Ronnie Bell","DET","8","WR206","","","508","","","508.0"
"626","Payne Durham","TB","9","TE84","","","509","","","509.0"
"627","Andre Szmyt","CLE","9","K56","","","510","","","510.0"
"628","Nikko Remigio","KC","10","WR207","","","511","","","511.0"
"629","Jordan Mims","TEN","10","RB152","","","512","","","512.0"
"630","Nate Adkins","DEN","12","TE85","","","513","","","513.0"
"631","Ryan Miller","TB","9","WR208","","","514","","","514.0"
"632","Devin Leary","BAL","7","QB98","","","516","","","516.0"
"633","George Holani","SEA","8","RB153","","","518","","","518.0"
"634","Jabari Small","DET","8","RB154","","","519","","","519.0"
"635","Terrell Jennings","NE","14","RB155","","","521","","","521.0"
"636","Jahmal Banks","BAL","7","WR209","","","522","","","522.0"
"637","Ryan Coe","TB","9","K57","","","530","","","530.0"
"638","Josh Johnson","WAS","12","QB99","","","533","","","533.0"
"639","Cordarrelle Patterson","","","RB156","","","535","","","535.0"
"640","Taylor Heinicke","LAC","12","QB100","","","536","","","536.0"
"641","Chris Moore","WAS","12","WR210","","","537","","","537.0"
"642","Josh Reynolds","NYJ","9","WR211","","","539","","","539.0"
"643","Pharaoh Brown","MIA","12","TE86","","","542","","","542.0"
"644","Hayden Hurst","","","TE87","","","544","","","544.0"
"645","John Kelly Jr.","","","RB157","","","545","","","545.0"
"646","Anthony Miller","BAL","7","WR212","","","546","","","546.0"
"647","Durham Smythe","CHI","5","TE88","","","548","","","548.0"
"648","Cedrick Wilson Jr.","NO","11","WR213","","","550","","","550.0"
"649","Ross Dwelley","SF","14","TE89","","","551","","","551.0"
"650","Russell Gage Jr.","SF","14","WR214","","","552","","","552.0"
"651","Keith Kirkwood","BAL","7","WR215","","","554","","","554.0"
"652","Kelvin Harmon","","","WR216","","","555","","","555.0"
